	#	Owner	Build name	Sets	Crit RatioCrit ValueCrit RateCrit DMG	Max HP	ATK	DEF	EM	ER%	Unnamed: 10
2492	123033	NANessime	Hu Tao	4.0	22.1 : 253.3 132.9 cv	34676	1952	929	84	126.6%	27804
2493	123034	EUBigChongus	Hu Tao	4.0	22.9 : 289.0 170.2 cv	31497	1782	959	107	132.4%	27804
2494	123035	EUSami	Hu Tao	4.0	49.3 : 188.0 122.0 cv	31597	2192	1225	114	138.2%	27804
2495	123036	NAJan	Hu Tao	4.0	8.5 : 292.9 145.3 cv	36212	1896	927	283	100.0%	27802
2496	123037	EUMyuw	Hu Tao	4.0	26.0 : 250.9 138.4 cv	33282	1964	985	56	132.4%	27802
2497	123038	NAMitsuha~Bella	Hu Tao	4.0	17.8 : 275.8 146.9 cv	36565	1796	941	126	125.3%	27801
2498	123039	NANoelle	Hu Tao	4.0	27.6 : 273.5 164.0 cv	35969	1967	1001	0	119.4%	27801
2499	123040	NADogen9801	Hu Tao	2.0	48.9 : 296.8 230.1 cv	31108	1909	1207	0	100.0%	27800
2500	123041	ASIAAal	Hu Tao	4.0	32.2 : 282.0 181.9 cv	33008	1965	1054	126	109.7%	27800
2501	123042	EUblondelina	Hu Tao	4.0	23.3 : 248.6 130.6 cv	35760	1954	939	63	133.7%	27799
2502	123043	NAClaudia	Hu Tao	4.0	28.7 : 262.6 155.5 cv	37565	1814	1213	0	123.3%	27797
2503	123044	EUЖуравль	Hu Tao	2.0	42.3 : 202.7 122.8 cv	26170	1699	876	241	116.2%	27797
2504	123045	EUBann	Hu Tao	4.0	31.8 : 280.5 179.6 cv	31258	1689	1191	35	140.1%	27797
2505	123046	EUJack	Hu Tao	4.0	55.7 : 191.9 138.7 cv	40334	1962	1402	0	117.5%	27796
2506	123047	ASIAくな。	Hu Tao	4.0	58.3 : 214.4 166.3 cv	36274	1856	971	0	109.7%	27796
2507	123048	NAtunnel	Hu Tao	4.0	26.8 : 220.6 109.6 cv	37376	2254	971	0	104.5%	27796
2508	123049	NANick	Hu Tao	4.0	15.5 : 318.5 185.0 cv	29255	1642	997	285	104.5%	27794
2509	123050	EUBaizhuluver300	Hu Tao	4.0	21.7 : 290.6 169.4 cv	27419	1713	1195	203	122.0%	27794
2510	123051	NAThane	Hu Tao	4.0	35.2 : 240.8 146.6 cv	33265	1873	1115	0	126.7%	27794
2511	123052	EUStonks	Hu Tao	2.0	34.2 : 280.5 184.2 cv	36062	1866	991	42	112.3%	27793
2512	123053	ASIAd8Ty	Hu Tao	4.0	32.6 : 276.6 177.3 cv	31557	1866	1061	0	112.3%	27792
2513	123054	EUNgugi	Hu Tao	22.0	53.2 : 208.2 150.0 cv	33008	1795	994	37	113.6%	27791
2514	123055	NANova	Hu Tao	22.0	50.0 : 205.8 141.3 cv	31676	2201	1030	203	133.0%	27790
2515	123056	EU7ap	Hu Tao	4.0	57.1 : 195.0 144.6 cv	24787	2340	1264	96	111.7%	27790
2516	123057	ASIATsugumi	Hu Tao	4.0	30.3 : 287.5 183.5 cv	34016	1825	957	0	132.4%	27789
2517	123058	EUragebaby	Hu Tao	4.0	24.1 : 299.9 183.4 cv	32322	1858	1028	56	131.1%	27788
2518	123059	ASIA百合總攻♪⁠	Hu Tao	4.0	23.3 : 258.7 140.7 cv	33120	1877	1096	96	106.5%	27788
2519	123060	NASmile	Hu Tao	4.0	21.7 : 271.2 150.0 cv	37484	1818	1168	63	116.2%	27787
2520	123061	EUkyra	Hu Tao	4.0	38.0 : 265.7 177.2 cv	36653	2319	959	0	100.0%	27786
2521	123062	ASIAAmity	Hu Tao	4.0	25.2 : 257.2 143.0 cv	33434	1830	1069	79	136.3%	27785
2522	123063	ASIASni	Hu Tao	22.0	33.4 : 278.2 180.4 cv	33934	1915	925	63	119.4%	27783
2523	123064	ASIAchonkiee	Hu Tao	4.0	18.2 : 313.1 185.0 cv	37814	1737	1105	82	111.0%	27781
2524	123065	EURoskakori	Hu Tao	4.0	27.2 : 307.7 197.4 cv	32035	1635	1356	56	100.0%	27780
2525	123066	NAAzure	Hu Tao	4.0	46.6 : 219.8 148.5 cv	35815	1807	1055	82	116.8%	27780
2526	123067	EURowan	Hu Tao	22.0	59.4 : 229.2 183.5 cv	27581	1723	895	241	120.7%	27780
2527	123068	NAyui	Hu Tao	4.0	20.9 : 275.8 153.1 cv	34910	1887	1022	84	120.1%	27780
2528	123069	NAminichime	Hu Tao	4.0	22.9 : 251.7 132.9 cv	26815	1806	1171	231	133.0%	27780
2529	123070	ASIAaimlessnempty	Hu Tao	4.0	24.8 : 225.3 110.4 cv	36068	2133	1128	40	106.5%	27780
2530	123071	EURednax	Hu Tao	4.0	19.0 : 275.8 149.2 cv	29273	2065	892	147	110.4%	27778
2531	123072	ASIA☆{SAO-VN}♧	Hu Tao	4.0	29.5 : 262.6 157.0 cv	34154	1720	1140	40	133.0%	27777
2532	123073	ASIABlank	Hu Tao	2.0	40.8 : 295.2 212.2 cv	32652	1757	957	21	124.6%	27776
2533	123074	EUMundo	Hu Tao	2.0	33.8 : 272.7 175.7 cv	23921	1571	1115	388	118.1%	27775
2534	123075	NAtuki	Hu Tao	22.0	41.2 : 227.6 145.4 cv	39431	2143	972	159	133.7%	27775
2535	123076	NAchelo93	Hu Tao	4.0	29.1 : 261.8 155.5 cv	30014	2152	1215	16	106.5%	27775
2536	123077	ASIApotato	Hu Tao	2.0	40.0 : 244.7 160.1 cv	31168	1858	1133	84	105.8%	27775
2537	123078	NAUenoyama	Hu Tao	22.0	30.7 : 279.7 176.5 cv	33640	1746	1163	120	128.5%	27774
2538	123079	NAKel	Hu Tao	4.0	24.8 : 257.2 142.3 cv	26877	1659	1100	224	151.2%	27774
2539	123080	EUUnknownCM0	Hu Tao	22.0	42.7 : 304.6 225.4 cv	32956	2139	1209	100	105.8%	27773
2540	123081	ASIAHime	Hu Tao	2.0	63.7 : 226.8 189.7 cv	40923	1962	1122	19	127.9%	27773
2541	123082	ASIANightfall	Hu Tao	22.0	59.4 : 276.6 230.9 cv	32978	2279	955	58	120.0%	27772
2542	123083	NAwycabar2	Hu Tao	4.0	20.9 : 263.4 140.7 cv	35901	1880	1082	86	100.0%	27772
2543	123084	NAnolie♡	Hu Tao	4.0	26.0 : 250.2 137.6 cv	33526	1805	1137	82	137.6%	27771
2544	123085	NAChicken	Hu Tao	22.0	26.8 : 290.6 179.5 cv	33190	1863	1005	135	121.4%	27771
2545	123086	EUИтэр	Hu Tao	4.0	28.7 : 284.4 177.2 cv	32005	1891	876	19	152.5%	27770
2546	123087	NAMercyful	Hu Tao	4.0	22.9 : 242.4 123.6 cv	32692	2008	1051	98	104.5%	27769
2547	123088	EUРин	Hu Tao	4.0	18.6 : 246.3 118.9 cv	40384	2006	971	63	122.7%	27769
2548	123089	EUJoba	Hu Tao	4.0	25.2 : 277.4 163.3 cv	34363	1848	1085	44	106.5%	27767
2549	123090	EUIAmbitionI	Hu Tao	2.0	60.2 : 267.2 223.1 cv	33638	2026	927	33	121.4%	27766
2550	123091	NAabegugo	Hu Tao	22.0	56.7 : 233.0 181.9 cv	34589	2180	979	72	147.9%	27766
2551	123092	ASIAShadøwknïght	Hu Tao	4.0	24.8 : 302.2 187.3 cv	32558	1988	932	21	113.0%	27766
2552	123093	EUVinci	Hu Tao	4.0	15.5 : 277.4 143.8 cv	36442	1744	913	175	109.7%	27764
2553	123094	NAMombi	Hu Tao	4.0	21.7 : 282.8 161.7 cv	35147	1765	990	86	119.4%	27764
2554	123095	ASIAalamia	Hu Tao	4.0	22.1 : 307.6 187.3 cv	32561	1760	1022	89	126.6%	27763
2555	123096	NA颜王帝君	Hu Tao	4.0	42.3 : 194.2 114.3 cv	26966	1782	1125	96	145.3%	27763
2556	123097	EUAvtaritet	Hu Tao	4.0	19.0 : 271.2 144.6 cv	32162	2003	934	126	115.5%	27763
2557	123098	NAAxoloss	Hu Tao	22.0	35.3 : 327.1 233.2 cv	34372	2075	1043	19	109.7%	27762
2558	123099	EUAlex	Hu Tao	22.0	26.0 : 231.5 119.0 cv	39469	1901	1089	135	130.4%	27762
2559	123100	EUkali	Hu Tao		61.8 : 189.5 148.5 cv	35698	1775	1026	44	138.9%	27761
2560	123101	ASIAAlanSenpai	Hu Tao	4.0	16.3 : 298.3 166.3 cv	33190	1825	1037	168	105.8%	27761
2561	123102	NAソラSora.	Hu Tao	2.0	52.0 : 247.8 187.3 cv	33494	1710	1249	0	127.9%	27759
2562	123103	EUxqns	Hu Tao	2.0	23.7 : 310.8 193.5 cv	31443	1815	892	187	105.2%	27758
2563	123104	ASIAmezcla	Hu Tao	4.0	61.8 : 209.7 168.7 cv	29989	1778	876	266	119.4%	27757
2564	123105	NATdiddles	Hu Tao	2.0	50.5 : 228.4 164.8 cv	31514	1839	978	56	100.0%	27757
2565	123106	EUIchizo	Hu Tao	2.0	61.4 : 169.3 127.5 cv	35876	1877	1219	19	125.3%	27756
2566	123107	NABolillo	Hu Tao	4.0	24.4 : 292.9 177.2 cv	31198	1720	1380	98	105.2%	27756
2567	123108	ASIACalixtoBiller	Hu Tao	4.0	24.8 : 228.0 113.1 cv	35428	1963	1015	68	152.5%	27752
2568	123109	NAKerberus	Hu Tao	4.0	46.6 : 219.0 147.7 cv	31168	2464	913	37	112.3%	27752
2569	123110	EUBlume	Hu Tao	4.0	32.2 : 289.8 189.7 cv	42001	1952	876	42	121.4%	27752
2570	123111	EULESHIDIT	Hu Tao	22.0	21.3 : 289.0 167.1 cv	33187	1807	1019	227	105.8%	27750
2571	123112	ASIAharoth	Hu Tao	4.0	20.6 : 327.1 203.6 cv	35431	2006	934	23	117.5%	27748
2572	123113	ASIASUMIYOSHI	Hu Tao	4.0	22.5 : 281.2 161.7 cv	36566	1719	1073	70	100.0%	27748
2573	123114	ASIALiko	Hu Tao	22.0	37.3 : 191.8 101.8 cv	46180	2427	876	21	119.4%	27748
2574	123115	NAliights	Hu Tao	4.0	24.8 : 262.6 147.7 cv	35061	1727	1120	77	116.8%	27748
2575	123116	ASIAこんにゃく蒟蒻	Hu Tao	4.0	39.5 : 197.9 112.4 cv	34968	1672	1118	77	146.9%	27747
2576	123117	EUA7R	Hu Tao	22.0	35.3 : 292.9 199.0 cv	36740	1849	1010	16	117.5%	27746
2577	123118	EUMelisa	Hu Tao	22.0	65.3 : 234.6 200.6 cv	33130	1765	994	96	122.7%	27746
2578	123119	ASIASnowCat/雪猫	Hu Tao	22.0	42.7 : 230.7 151.6 cv	37754	2027	1051	56	135.6%	27745
2579	123120	NAalhaithussy	Hu Tao	4.0	29.9 : 283.6 178.8 cv	28847	1635	1087	91	162.8%	27745
2580	123121	NAeaSin	Hu Tao	4.0	46.6 : 227.6 156.2 cv	23443	1697	1073	72	120.1%	27744
2581	123122	EUEmpereurDuSel	Hu Tao	4.0	54.4 : 226.8 171.0 cv	31959	1711	1036	89	111.0%	27744
2582	123123	ASIAheidi	Hu Tao	22.0	36.1 : 228.4 136.0 cv	35981	2165	1092	42	105.8%	27743
2583	123124	EUMio	Hu Tao	2.0	59.0 : 228.4 181.9 cv	31437	1741	1284	0	133.7%	27743
2584	123125	EUZakarian	Hu Tao	4.0	46.2 : 203.5 131.4 cv	35939	2075	1308	79	109.7%	27743
2585	123126	EUZakarian	Hu Tao	4.0	46.2 : 203.5 131.4 cv	35939	2075	1308	79	109.7%	27743
2586	123127	EUKiwi/행복하다	Hu Tao	4.0	28.7 : 180.2 73.1 cv	32379	2074	1153	107	120.7%	27742
2587	123128	NAShintaru	Hu Tao	22.0	48.9 : 160.0 93.3 cv	39213	2065	1002	42	121.4%	27742
2588	123129	ASIAViVuiVe	Hu Tao	2.0	50.5 : 300.7 237.1 cv	41732	1943	1036	58	105.8%	27741
2589	123130	ASIARuka	Hu Tao	4.0	21.3 : 308.5 186.6 cv	32251	2048	892	49	117.5%	27740
2590	123131	ASIAJo	Hu Tao	4.0	28.7 : 268.8 161.7 cv	34546	1826	1236	19	106.5%	27740
2591	123132	ASIAl3laxk	Hu Tao	4.0	36.1 : 218.3 125.9 cv	31736	1896	932	33	100.0%	27739
2592	123133	NAImperia	Hu Tao	22.0	60.2 : 175.5 131.4 cv	36128	1972	1076	0	128.5%	27739
2593	123134	EUJo	Hu Tao	2.0	32.6 : 268.8 169.5 cv	32134	1825	939	114	123.3%	27738
2594	123135	NALumine	Hu Tao	22.0	50.1 : 210.3 146.0 cv	25295	1820	942	267	123.6%	27737
2595	123136	ASIA으내	Hu Tao	4.0	35.7 : 248.6 155.5 cv	28579	1825	927	269	164.1%	27737
2596	123137	ASIAæxpa	Hu Tao	4.0	50.4 : 199.6 135.8 cv	32345	2043	1097	100	112.3%	27737
2597	123138	ASIApeepsad	Hu Tao	4.0	27.9 : 295.2 186.5 cv	34935	1809	892	0	133.0%	27737
2598	123139	NAFubuki	Hu Tao	4.0	29.1 : 263.4 157.0 cv	34002	1741	1241	40	127.2%	27737
2599	123140	NABerryThatLived	Hu Tao	4.0	36.5 : 271.9 180.3 cv	41495	1863	1149	40	115.5%	27736
2600	123141	NAKitKat	Hu Tao	4.0	21.7 : 254.0 132.9 cv	39993	2068	944	16	118.1%	27736
2601	123142	EUFantaFaraZahar	Hu Tao	4.0	25.6 : 313.9 200.5 cv	26615	1913	1030	79	131.7%	27735
2602	123143	ASIA크로와상맛남	Hu Tao	2.0	39.2 : 268.0 181.9 cv	27004	1991	994	82	109.7%	27735
2603	123144	NAHalf_Half	Hu Tao	4.0	29.9 : 228.4 123.6 cv	35805	1822	876	40	147.9%	27735
2604	123145	NASketti	Hu Tao	4.0	24.8 : 290.6 175.7 cv	32613	1821	1266	58	122.0%	27734
2605	123146	EUкaмaмбер	Hu Tao	22.0	22.5 : 234.9 115.3 cv	28679	1850	1036	356	123.3%	27734
2606	123147	NAAdrian	Hu Tao	4.0	22.5 : 244.7 125.2 cv	32483	1822	1067	140	122.0%	27734
2607	123148	EUtisanina>.<	Hu Tao	4.0	27.6 : 266.5 157.0 cv	35420	1827	1028	23	127.2%	27733
2608	123149	ASIAクソガキ27号	Hu Tao	4.0	23.7 : 277.4 160.1 cv	35725	1906	927	37	120.7%	27732
2609	123150	ASIAblueporu	Hu Tao	4.0	59.0 : 240.0 193.5 cv	31736	1795	959	16	148.6%	27732
2610	123151	EUaion	Hu Tao	4.0	34.6 : 283.6 188.1 cv	23443	2115	1065	16	133.7%	27732
2611	123152	ASIAHutao	Hu Tao	4.0	15.5 : 322.4 188.9 cv	29752	1832	899	210	115.5%	27731
2612	123153	ASIARAM	Hu Tao	4.0	18.2 : 282.8 154.7 cv	39352	1796	943	79	120.7%	27731
2613	123154	EUAyakaMain	Hu Tao	4.0	24.1 : 295.2 178.8 cv	32344	1738	1298	82	105.8%	27730
2614	123155	EUCLoOZHNYI	Hu Tao	2.0	51.7 : 218.3 157.0 cv	30690	1720	1343	65	135.6%	27729
2615	123156	ASIAトリプル胡桃	Hu Tao	4.0	27.2 : 274.3 164.0 cv	34516	1873	897	21	135.0%	27727
2616	123157	NAniki	Hu Tao	22.0	23.3 : 327.1 209.1 cv	35212	1838	1044	122	105.8%	27726
2617	123158	ASIAみゆ	胡桃	4.0	25.6 : 262.6 149.3 cv	31766	1982	1097	58	109.7%	27726
2618	123159	EUAnake	Hu Tao	4.0	40.3 : 165.6 81.5 cv	37266	2047	1029	197	122.0%	27724
2619	123160	ASIADebswold	Hu Tao	4.0	12.4 : 244.7 105.0 cv	38268	1918	943	196	126.6%	27723
2620	123162	EUMaquia	Hu Tao	2.0	52.8 : 194.2 135.3 cv	36569	1719	1217	37	106.5%	27723
2621	123163	NASor	Hu Tao	22.0	42.3 : 240.0 160.1 cv	34753	2142	950	0	104.5%	27723
2622	123164	EUFUTURE	Hu Tao	22.0	23.7 : 299.9 182.7 cv	36765	2099	1048	141	121.4%	27722
2623	123165	EUPoPoMeLo	Hu Tao	2.0	43.1 : 229.2 150.8 cv	31975	1756	955	89	143.4%	27722
2624	123166	EUHealMeRain	Hu Tao	4.0	29.9 : 299.1 194.3 cv	32049	1709	1180	21	121.4%	27722
2625	123167	ASIA龍民	Hu Tao	22.0	38.1 : 282.0 193.6 cv	35455	1979	1036	0	104.5%	27721
2626	123168	ASIAMiracle_Doc	Hu Tao	22.0	42.3 : 310.8 230.9 cv	32542	1722	1000	0	130.4%	27720
2627	123169	EUScarlet	Hu Tao	4.0	23.3 : 272.7 154.7 cv	37659	1947	941	21	114.9%	27720
2628	123170	ASIAHàHahahahha	Hu Tao	4.0	31.1 : 260.3 157.8 cv	36020	1775	1061	0	134.3%	27719
2629	123171	EUChiroe	Hu Tao	4.0	32.6 : 267.3 167.9 cv	33267	1811	1080	0	110.4%	27719
2630	123172	NALumine	Hu Tao	4.0	28.7 : 266.5 159.4 cv	37507	1780	1067	0	135.0%	27719
2631	123173	NAHana	Hu Tao	2.0	31.8 : 245.5 144.6 cv	35944	1843	1153	105	111.7%	27719
2632	123174	ASIAAyakaa	Hu Tao	4.0	47.0 : 268.0 197.5 cv	27459	1957	1600	86	116.2%	27718
2633	123175	ASIA緋室	Hu Tao	2.0	58.3 : 213.6 165.6 cv	27105	2070	1093	61	115.5%	27717
2634	123176	EUsoph	Hu Tao	4.0	22.1 : 282.0 161.7 cv	25833	1557	976	290	106.5%	27717
2635	123177	EUspider	Hu Tao	4.0	15.1 : 285.9 151.6 cv	36158	1832	1056	156	111.0%	27717
2636	123178	EUтархун	Hu Tao	4.0	21.3 : 298.4 176.5 cv	32801	1746	999	107	112.3%	27716
2637	123179	ASIASitiEconJImat	Hu Tao	22.0	25.6 : 303.0 189.7 cv	30899	1790	1093	179	116.2%	27716
2638	123180	NAヴぃおぇ「xsc	Hu Tao	2.0	64.9 : 243.9 209.1 cv	38206	1902	1313	16	105.2%	27716
2639	123181	EUonii-chan	Hu Tao	2.0	45.4 : 268.0 194.3 cv	31168	1861	1079	61	133.0%	27715
2640	123182	ASIAKemoosh	Hu Tao	4.0	24.8 : 268.8 153.9 cv	39349	1960	953	0	138.2%	27714
2641	123183	EUraphael*	Hu Tao	2.0	61.8 : 232.3 191.2 cv	31945	1673	1049	157	117.5%	27714
2642	123184	ASIAYaranara	Hu Tao	4.0	18.6 : 306.1 178.8 cv	33939	1724	976	131	100.0%	27713
2643	123185	EURuby	Hu Tao	2.0	40.8 : 256.4 173.4 cv	33613	2029	978	61	105.2%	27713
2644	123186	ASIASchnapsidee	Hu Tao	4.0	28.3 : 291.4 183.5 cv	33927	1715	1118	23	112.3%	27713
2645	123187	EULulu3618	Hu Tao	4.0	29.9 : 247.1 142.3 cv	32161	1834	1181	54	124.0%	27712
2646	123188	ASIAルミネ	Hu Tao	4.0	29.9 : 272.7 167.9 cv	31228	2059	1053	0	105.8%	27712
2647	123189	ASIAAmethysta	Hu Tao	4.0	27.9 : 275.8 167.1 cv	32945	1782	1250	42	100.0%	27712
2648	123190	EUSkroutz	Hu Tao	4.0	29.5 : 285.1 179.6 cv	38177	2016	1226	75	109.1%	27711
2649	123191	NAJumei	Hu Tao	4.0	29.1 : 290.6 184.2 cv	32909	1886	964	0	117.5%	27711
2650	123192	NAMaster-J	Hu Tao	4.0	31.8 : 207.4 106.5 cv	40587	1848	922	0	159.6%	27711
2651	123193	EUxeno	Hu Tao	22.0	56.3 : 254.8 202.9 cv	26432	2167	1146	126	100.0%	27711
2652	123194	NAﻪﻤﻴﻏ	Hu Tao	2.0	43.1 : 255.6 177.2 cv	31198	1773	1089	58	135.0%	27708
2653	123195	ASIAIce	Hu Tao	4.0	25.6 : 284.4 171.0 cv	34034	1821	1297	40	100.0%	27708
2654	123196	NAProph	Hu Tao	4.0	20.6 : 297.6 174.1 cv	26837	2274	895	84	111.7%	27708
2655	123197	NAcoffins	Hu Tao	4.0	50.2 : 166.2 102.1 cv	30546	1696	1186	61	128.5%	27707
2656	123198	EUByaku	Hu Tao	4.0	22.9 : 254.8 136.0 cv	30351	1969	1109	119	110.4%	27706
2657	123199	NAÆther	Hu Tao	4.0	28.7 : 236.2 129.1 cv	38363	1938	1002	0	136.3%	27706
2658	123200	ASIA비오의(B.O.E)	Hu Tao	4.0	60.6 : 200.4 157.0 cv	28432	2042	1152	72	164.8%	27705
2659	123201	NAEos	Hu Tao	4.0	24.8 : 245.5 130.6 cv	33125	2053	892	58	131.7%	27704
2660	123203	NABloorampart<3	Hu Tao	2.0	61.0 : 233.0 190.5 cv	25709	1856	1311	19	132.4%	27703
2661	123204	ASIAsimpHutao:))	Hu Tao	2.0	42.3 : 257.1 177.2 cv	32647	1940	1161	23	111.0%	27703
2662	123205	EUBoetík	Hu Tao	4.0	19.4 : 270.4 144.6 cv	33911	1839	1162	131	116.8%	27702
2663	123206	ASIAFami	Hu Tao	4.0	21.7 : 275.0 153.9 cv	36987	1856	913	56	122.7%	27701
2664	123207	EUHuTao	Hu Tao	22.0	34.2 : 213.6 117.4 cv	40846	1918	1000	65	106.5%	27701
2665	123208	EUtip	Hu Tao	22.0	39.2 : 271.2 185.0 cv	31746	1874	1247	99	105.8%	27701
2666	123209	EUExalt	Hu Tao	22.0	52.4 : 196.5 136.8 cv	35176	1949	1089	16	124.6%	27700
2667	123210	NARafucho	Hu Tao	4.0	23.7 : 257.9 140.7 cv	33008	1903	1020	117	116.8%	27699
2668	123211	ASIARikka	Hu Tao	22.0	42.3 : 270.4 190.5 cv	31377	1818	1195	37	121.4%	27699
2669	123212	ASIAgoodnight	Hu Tao	4.0	40.0 : 234.6 150.1 cv	24160	2327	1153	177	100.0%	27699
2670	123213	ASIAAxR	Hu Tao	22.0	44.3 : 310.8 234.8 cv	39073	1853	997	63	104.5%	27698
2671	123214	ASIASHADOWDBZ	Hu Tao	2.0	50.9 : 282.8 219.9 cv	25788	1952	899	0	120.7%	27698
2672	123215	NARoo	Hu Tao	4.0	21.7 : 249.4 128.3 cv	34542	1941	940	93	125.3%	27696
2673	123216	NACyto	Hu Tao	2.0	49.5 : 192.6 127.0 cv	35390	1747	1100	65	104.5%	27695
2674	123217	EUAdotoria	Hu Tao	4.0	22.5 : 282.0 162.4 cv	27242	2009	978	126	116.8%	27695
2675	123218	NASteph	Hu Tao	4.0	16.7 : 233.9 102.6 cv	37177	1857	948	163	121.4%	27695
2676	123219	EUBal	Hu Tao	4.0	19.8 : 306.9 181.9 cv	35028	1756	1041	91	123.3%	27694
2677	123220	NAGOM亗Juan_tk	Hu Tao	4.0	51.5 : 203.7 142.1 cv	40370	1966	904	16	126.6%	27693
2678	123221	ASIAyu-ki	Hu Tao	2.0	29.1 : 268.8 162.5 cv	34072	2009	897	96	114.2%	27693
2679	123222	EUDeko	Hu Tao	4.0	20.6 : 288.2 164.8 cv	34577	1910	1059	75	100.0%	27693
2680	123223	ASIA世紀末リーダー	Hu Tao	22.0	37.7 : 282.0 192.8 cv	37284	1882	991	0	116.8%	27692
2681	123224	NAMyuri	Hu Tao	4.0	15.9 : 223.7 90.9 cv	38054	2256	1117	98	100.0%	27691
2682	123225	NAsolstice	Hu Tao	4.0	25.6 : 268.0 154.7 cv	34641	1755	1163	61	127.9%	27690
2683	123226	EUXiao	Hu Tao	4.0	19.8 : 288.2 163.2 cv	37024	1800	990	77	132.4%	27690
2684	123227	NAAndrea	Hu Tao	4.0	25.2 : 240.8 126.7 cv	36690	1819	1061	61	133.0%	27690
2685	123228	EUjae	Hu Tao	4.0	38.8 : 250.1 163.2 cv	37938	2294	1119	16	100.0%	27689
2686	123229	NARalice	Hu Tao	4.0	31.4 : 289.0 187.3 cv	31923	1815	1138	0	140.8%	27688
2687	123230	EUdndzmd	Hu Tao	4.0	18.2 : 296.8 168.7 cv	28424	1602	1084	276	114.2%	27688
2688	123231	NAnicbor604	Hu Tao	4.0	23.7 : 202.7 85.5 cv	33734	2202	895	86	136.9%	27688
2689	123232	NA魈chicken魈	Hu Tao	22.0	35.7 : 295.2 202.1 cv	34459	2050	950	47	116.2%	27687
2690	123233	NARen	Hu Tao	4.0	27.2 : 252.5 142.3 cv	36842	1878	971	19	121.4%	27687
2691	123234	EUAboutlinx	Hu Tao	4.0	26.0 : 298.3 185.8 cv	33157	1945	980	16	119.4%	27686
2692	123235	ASIAFUJI	Hu Tao	4.0	20.9 : 290.6 167.9 cv	33446	1745	959	112	122.0%	27685
2693	123236	NAAeon	Hu Tao	22.0	32.2 : 293.7 193.6 cv	31676	1836	1219	91	100.0%	27684
2694	123237	EUNasija	Hu Tao	4.0	24.1 : 257.4 141.0 cv	33283	1891	876	100	142.1%	27683
2695	123238	NAai♡	Hu Tao	4.0	25.6 : 285.9 172.6 cv	33888	1818	959	40	130.4%	27682
2696	123239	NAT_roxs	Hu Tao	4.0	20.6 : 245.5 122.0 cv	25962	1910	955	259	100.0%	27682
2697	123240	ASIAShiShiRon	Hu Tao	22.0	40.4 : 181.8 98.0 cv	29592	1916	1033	206	112.3%	27681
2698	123241	ASIA티히	Hu Tao	4.0	34.9 : 269.6 174.9 cv	25131	2072	1123	16	105.2%	27681
2699	123242	EUHiguma	Hu Tao	4.0	24.1 : 322.4 206.0 cv	33663	1835	1042	23	111.0%	27681
2700	123244	EUMoraxus	Hu Tao	2.0	64.9 : 195.7 160.9 cv	27541	1401	962	187	129.2%	27680
2701	123245	NA胡雨	Hu Tao	4.0	26.4 : 278.9 167.1 cv	32647	1679	1221	77	116.2%	27680
2702	123246	NA樱妍	Hu Tao	4.0	21.3 : 306.9 185.0 cv	34968	1822	1068	58	106.5%	27679
2703	123247	NACamelRider	Hu Tao	2.0	31.1 : 314.7 212.2 cv	26425	1657	1035	187	105.8%	27678
2704	123248	EUazzi	Hu Tao	4.0	25.6 : 271.9 158.6 cv	34783	1761	950	54	125.3%	27678
2705	123249	EUdenis	Hu Tao	4.0	17.8 : 283.6 154.7 cv	34370	2035	1020	96	100.0%	27678
2706	123250	NARaspberry	Hu Tao	2.0	48.0 : 175.5 107.0 cv	33940	1815	1278	107	115.5%	27678
2707	123251	EUﻒﻫﺭ	Hu Tao	4.0	27.9 : 268.8 160.1 cv	35133	1812	1081	21	133.7%	27675
2708	123252	NAS.O.G	Hu Tao	4.0	25.2 : 308.4 194.3 cv	34190	1724	966	35	127.2%	27674
2709	123253	EUStéphane:)	Hu Tao	4.0	58.7 : 160.8 113.6 cv	29854	1968	918	175	104.5%	27674
2710	123254	ASIA유키나	Hu Tao	2.0	34.9 : 282.0 187.4 cv	35635	1892	1022	80	118.1%	27674
2711	123255	NA☆Hoshi☆	Hu Tao	22.0	28.3 : 161.5 53.7 cv	30886	2188	959	268	116.2%	27674
2712	123256	ASIAlance	Hu Tao	4.0	20.6 : 305.3 181.9 cv	34053	1638	939	117	123.3%	27673
2713	123257	NAArtemis	Hu Tao	4.0	50.1 : 223.7 159.4 cv	43668	1927	892	161	104.5%	27673
2714	123258	NAScarlett	Hu Tao	22.0	27.2 : 216.8 106.5 cv	41255	1895	1042	121	138.9%	27672
2715	123259	NACoffeeMochi	Hu Tao	4.0	26.8 : 271.9 160.9 cv	31198	1716	1145	91	138.2%	27671
2716	123260	ASIAPGHD	Hu Tao	4.0	17.8 : 305.3 176.4 cv	37532	1821	927	79	110.4%	27671
2717	123261	NABrandonCM	Hu Tao	4.0	25.6 : 297.6 184.2 cv	32642	1928	1082	23	100.0%	27670
2718	123262	ASIAves	Hu Tao	2.0	31.8 : 253.3 152.4 cv	26567	1617	957	283	109.7%	27670
2719	123263	ASIAsasamaru	Hu Tao	2.0	47.8 : 257.9 188.9 cv	33008	1867	936	37	133.7%	27670
2720	123264	ASIAJun	Hu Tao	22.0	26.8 : 292.1 181.1 cv	36005	1959	1106	84	111.0%	27669
2721	123265	ASIAEs-Klee-Nor	Hu Tao	4.0	40.4 : 313.1 229.3 cv	26996	2211	991	42	111.7%	27668
